                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.3389,                 2.0032,                 1.7677,                0.40325,                0.36569,                0.34245,                0.19924,                 1.6363,                 2.3538,                 2.1819,             0.00070771,             0.00070771,             0.00070771
                     57,                  1.337,                  2.003,                 1.7817,                0.26405,                0.40645,                0.25439,                0.16132,                 1.6382,                 2.5193,                 2.2226,             0.00070037,             0.00070037,             0.00070037
                     58,                 1.3527,                 1.9799,                 1.7677,                  0.345,                0.36962,                0.33221,                0.18441,                 1.7428,                 2.4621,                 2.2872,             0.00069304,             0.00069304,             0.00069304
                     59,                 1.3178,                 1.9512,                 1.7426,                 0.3169,                0.31551,                0.29805,                 0.1752,                 1.5878,                 2.3581,                 2.1357,             0.00068571,             0.00068571,             0.00068571
                     60,                 1.2964,                 1.9023,                 1.7174,                0.56368,                0.34739,                0.33891,                0.22161,                  1.555,                 2.3541,                 2.1074,             0.00067838,             0.00067838,             0.00067838
                     61,                  1.305,                 1.9493,                 1.7302,                0.39638,                0.36909,                0.35383,                0.21775,                 1.5766,                 2.2829,                 2.1474,             0.00067104,             0.00067104,             0.00067104
                     62,                 1.2571,                 1.8674,                 1.7189,                0.46818,                0.32741,                0.38147,                 0.2577,                 1.5402,                 2.1907,                 2.0831,             0.00066371,             0.00066371,             0.00066371
                     63,                 1.2729,                 1.8782,                 1.7076,                0.23824,                0.40607,                0.29687,                0.19877,                 1.5395,                  2.286,                 2.0921,             0.00065638,             0.00065638,             0.00065638
                     64,                 1.2782,                 1.8261,                 1.6918,                0.39528,                0.40852,                0.39903,                0.23543,                 1.5929,                 2.2095,                 2.1225,             0.00064905,             0.00064905,             0.00064905
                     65,                 1.2624,                 1.8052,                  1.678,                0.45624,                0.39098,                 0.3901,                0.26293,                 1.5247,                 2.2005,                 2.0533,             0.00064171,             0.00064171,             0.00064171
                     66,                 1.2882,                 1.8644,                  1.697,                0.36599,                0.41779,                0.39278,                0.26021,                 1.5697,                 2.1933,                 2.1401,             0.00063438,             0.00063438,             0.00063438
                     67,                 1.2349,                 1.7816,                 1.6637,                0.31442,                 0.4372,                0.31705,                0.18905,                 1.6145,                 2.4354,                   2.15,             0.00062705,             0.00062705,             0.00062705
                     68,                 1.2442,                  1.787,                 1.6673,                0.39971,                0.40075,                0.35314,                0.22184,                 1.5684,                 2.2885,                 2.1226,             0.00061972,             0.00061972,             0.00061972
                     69,                 1.2152,                 1.7565,                 1.6399,                 0.4321,                0.38805,                0.37167,                0.23688,                 1.5542,                 2.2271,                 2.0922,             0.00061238,             0.00061238,             0.00061238
                     70,                 1.2157,                 1.7243,                 1.6439,                0.29648,                0.43857,                0.28401,                0.18084,                 1.5541,                 2.3678,                 2.1231,             0.00060505,             0.00060505,             0.00060505
                     71,                 1.2374,                 1.7584,                 1.6656,                0.36609,                0.46739,                0.38259,                0.24526,                 1.5573,                 2.1818,                 2.1053,             0.00059772,             0.00059772,             0.00059772
                     72,                 1.1981,                 1.6971,                 1.6352,                0.35258,                0.42571,                0.39407,                0.25293,                 1.5309,                 2.1881,                 2.1155,             0.00059039,             0.00059039,             0.00059039
                     73,                 1.1895,                 1.7311,                 1.6257,                0.39525,                 0.4354,                 0.3928,                0.24481,                 1.5873,                 2.2691,                  2.103,             0.00058305,             0.00058305,             0.00058305
                     74,                 1.2027,                 1.7051,                 1.6231,                0.50462,                0.39406,                0.39299,                0.24622,                 1.5731,                 2.2838,                  2.115,             0.00057572,             0.00057572,             0.00057572
